汉字,漢越語,IPA
一,Nhất,ɲɤt7
丨,Cổn,kon3
丶,Chủ,tʂu3
丿,Phiệt,fiet8
乀,Phật,fɤt8
乙,Ất,ɤt7
亅,Quyết,kwiet7
丁,Tranh,tʂa:ɲ1
丁,Đinh,diɲ1
丂,Khảo,xa:w3
七,Thất,t'ɤt7
乂,Nghệ,ŋe6
乃,Nãi,na:j4
九,Cửu,kɯw3
了,Liễu,liew4
二,Nhị,ɲi6
人,Nhân,ɲɤn1
入,Nhập,ɲɤp8
八,Bát,ba:t7
冖,Mịch,miʧ8
冫,Băng,baŋ1
几,Kỉ,ki3
凵,Khảm,xa:m3
刀,Đao,da:w1
刁,Điêu,diew1
力,Lực,lɯk8
勹,Bao,ba:w1
匕,Chủy,tʂwi3
匚,Phương,fɯɤŋ1
匸,Hệ,he6
十,Thập,t'ɤp8
卜,Bốc,bok7
厂,Hán,ha:n5
厶,Tư,tɯ1
又,Hựu,hɯw6
廴,Dẫn,zɤn4
万,Mặc,mak8
丈,Trượng,tʂɯɤŋ6
三,Tam,ta:m1
上,Thượng,t'ɯɤŋ6
上,Thướng,t'ɯɤŋ5
下,Hạ,ha:6
丫,A,a:1
丸,Hoàn,hwa:n2
久,Cửu,kɯw3
乞,Khất,xɤt7
也,Dã,za:4
亍,Xúc,suk7
于,Vu,vu1
亡,Vong,vɔŋ1
兀,Ngột,ŋot8
凡,Phàm,fa:m2
刃,Nhận,ɲɤn6
勺,Thược,t'ɯɤk8
千,Thiên,t'ien1
叉,Xoa,swa:1
口,Khẩu,xɤw3
囗,Vi,vi1
土,Thổ,t'o3
土,Độ,do6
士,Sĩ,ʂi4
夂,Truy,tʂwi1
夊,Tuy,twi1
夕,Tịch,tiʧ8
大,Đại,da:j6
大,Đại,da:j6
女,Nữ,nɯ4
女,Nứ,nɯ5
子,Tử,tɯ3
孑,Kiết,kiet7
孒,Quyết,kwiet7
宀,Miên,mien1
寸,Thốn,t'on5
小,Tiểu,tiew3
尸,Thi,t'i1
屮,Triệt,tʂiet8
山,San,ʂa:n1
川,Xuyên,swien1
工,Công,koŋ1
己,Kỉ,ki3
已,Dĩ,zi4
巳,Tị,ti6
巾,Cân,kɤn1
干,Can,ka:n1
幺,Yêu,iew1
广,Nghiễm,ŋiem4
廾,Củng,kuŋ3
弋,Dặc,zak8
弓,Cung,kuŋ1
彐,Kí,ki5
彡,Sam,ʂa:m1
彳,Xích,siʧ7
才,Tài,ta:j2
不,Bất,bɤt7
丐,Cái,ka:j5
丑,Sửu,ʂɯw3
中,Trung,tʂuŋ1
中,Trúng,tʂuŋ5
丯,Phong,fɔŋ1
丹,Đan,da:n1
之,Chi,tʂi1
予,Dư,zɯ1
予,Dữ,zɯ4
云,Vân,vɤn1
互,Hỗ,ho4
五,Ngũ,ŋu4
井,Tỉnh,tiɲ3
亢,Cang,ka:ŋ1
亢,Kháng,xa:ŋ5
什,Thập,t'ɤp8
仁,Nhân,ɲɤn1
仃,Đinh,diɲ1
仄,Trắc,tʂak7
仆,Phó,fɔ5
仇,Cừu,kɯw2
仉,Chưởng,tʂɯɤŋ3
今,Kim,kim1
介,Giới,ʑɤ:j5
仍,Nhưng,ɲɯŋ1
允,Duẫn,zuɤn4
允,Doãn,zwa:n4
元,Nguyên,ŋwien1
內,Nội,noj6
公,Công,koŋ1
六,Lục,luk8
兮,Hề,he2
内,Nội,noj6
冈,Cương,kɯɤŋ1
冗,Nhũng,ɲuŋ4
凶,Hung,huŋ1
分,Phân,fɤn1
分,Phận,fɤn6
切,Thế,t'e5
切,Thiết,t'iet7
刈,Ngải,ŋa:j3
勻,Quân,kwɤn1
勿,Vật,vɤt8
化,Hóa,hwa:5
匹,Thất,t'ɤt7
卅,Tạp,ta:p8
升,Thăng,t'aŋ1
午,Ngọ,ŋɔ6
卞,Biện,bien6
卬,Ngang,ŋa:ŋ1
厄,Ách,a:ʧ7
及,Cập,kɤp8
友,Hữu,hɯw4
反,Phiên,fien1
反,Phản,fa:n3
壬,Nhâm,ɲɤm1
天,Thiên,t'ien1
太,Thái,t'a:j5
夫,Phu,fu1
夬,Quái,kwa:j5
夭,Yêu,iew1
夭,Yểu,iew3
孔,Khổng,koŋ3
少,Thiểu,t'iew3
少,Thiếu,t'iew5
尤,Vưu,vɯw1
尹,Duẫn,zuɤn4
尺,Xích,siʧ7
屯,Đồn,don2
屯,Truân,tʂwɤn1
巴,Ba,ba:1
巿,Phất,fɤt7
帀,Táp,ta:p7
幻,Huyễn,hwien4
廿,Nhập,ɲɤp8
弌,Nhất,ɲɤt7
弔,Điếu,diew5
弔,Đích,diʧ7
引,Dẫn,zɤn4
心,Tâm,tɤm1
戈,Qua,qwa:1
戶,Hộ,ho6
手,Thủ,t'u3
扎,Trát,tʂa:t7
支,Chi,tʂi1
攴,Phộc,fok8
文,Văn,van1
斗,Đẩu,dɤw3
斤,Cân,kɤn1
方,Phương,fɯɤŋ1
旡,Kí,ki5
日,Nhật,ɲɤt8
曰,Viết,viet7
月,Nguyệt,ŋwiet8
木,Mộc,mok8
欠,Khiếm,xiem5
止,Chỉ,tʂi3
歹,Ngạt,ŋa:t8
殳,Thù,t'u2
毋,Vô,vo1
比,Tỉ,ti3
毛,Mao,ma:w1
氏,Thị,t'i6
水,Thủy,t'wi3
火,Hỏa,hwa:3
爪,Trảo,tʂa:w3
父,Phủ,fu3
父,Phụ,fu6
爻,Hào,ha:w2
片,Phiến,fien5
牙,Nha,ɲa:1
牛,Ngưu,ŋɯw1
犬,Khuyển,xwien3
王,Vương,vɯɤŋ1
王,Vượng,vɯɤŋ6
瓦,Ngõa,ŋwa:4
且,Thả,t'a:3
且,Thư,t'ɯ1
丕,Phi,fi1
世,Thế,t'e5
丘,Khưu,xɯw1
丙,Bính,biɲ5
丱,Quán,kwa:n5
主,Chủ,tʂu3
乍,Sạ,ʂa:6
乎,Hồ,ho2
乏,Phạp,fa:p8
仔,Tử,tɯ3
仕,Sĩ,ʂi4
他,Tha,t'a:1
仗,Trượng,tʂɯɤŋ6
付,Phó,fɔ5
仙,Tiên,tien1
仝,Đồng,doŋ2
仞,Nhận,ɲɤn6
仟,Thiên,t'ien1
仡,Ngật,ŋɤt8
代,Đại,da:j6
令,Lệnh,leɲ6
以,Dĩ,zi4
兄,Huynh,hwiɲ1
冉,Nhiễm,ɲiem4
册,Sách,ʂa:ʧ7
冬,Đông,doŋ1
凷,Khối,xoj5
凸,Đột,dot8
凹,Ao,a:w1
出,Xuất,swɤt7
刊,San,ʂa:n1
功,Công,koŋ1
加,Gia,ʑa:1
匃,Cái,ka:j5
包,Bao,ba:w1
北,Bắc,bak7
匜,Di,zi1
卉,Hủy,hwi3
半,Bán,ba:n5
卌,Tấp,tɤp7
占,Chiêm,tʂiem1
占,Chiếm,tʂiem5
卮,Chi,tʂi1
卯,Mão,ma:w4
去,Khử,xɯ3
去,Khứ,xɯ5
古,Cổ,ko3
句,Câu,kɤw1
句,Cú,ku5
叨,Đao,da:w1
叩,Khấu,xɤw5
只,Chỉ,tʂi3
叫,Khiếu,xiew5
召,Triệu,tʂiew6
叮,Đinh,diɲ1
可,Khả,xa:3
台,Di,zi1
台,Thai,t'a:j1
叱,Sất,ʂɤt5
史,Sử,ʂɯ3
右,Hữu,hɯw4
叵,Phả,fa:3
叶,Hiệp,hiep8
司,Tư,tɯ1
囚,Tù,tu2
四,Tứ,tɯ5
外,Ngoại,ŋwa:j6
央,Ương,ɯɤŋ1
失,Thất,t'ɤt7
夲,Thao,t'a:w1
奴,Nô,no1
孕,Dựng,zɯŋ6
宁,Trữ,tʂɯ4
宂,Nhũng,ɲuŋ4
它,Tha,t'a:1
宄,Quỹ,kwi4
尒,Nhĩ,ɲi4
尻,Khào,xa:w2
尼,Ni,ni1
屴,Lực,lɯk8
左,Tả,ta:3
巧,Xảo,sa:w3
巨,Cự,kɯ6
市,Thị,t'i6
布,Bố,bo5
平,Bình,biɲ2
幼,Ấu,ɤw5
庀,Phỉ,fi3
弁,Biền,bien2
弍,Nhị,ɲi6
弗,Phất,fɤt7
弘,Hoằng,hwaŋ2
必,Tất,tɤt7
忉,Đao,da:w1
戊,Mậu,mɤw6
戹,Ách,a:ʧ7
扒,Bái,ba:j5
打,Đả,da:3
扔,Nhưng,ɲɯŋ1
扔,Nhận,ɲɤn6
斥,Xích,siʧ7
旦,Đán,da:n5
未,Vị,vi6
末,Mạt,ma:t8
本,Bổn,bon3
札,Trát,tʂa:t7
朮,Truật,tʂwɤt8
正,Chính,tʂiɲ5
正,Chinh,tʂiɲ1
母,Mẫu,mɤw4
氐,Đê,de1
民,Dân,zɤn1
永,Vĩnh,viɲ4
氾,Phiếm,fiem5
汀,Đinh,diɲ1
汁,Trấp,tʂɤp7
犯,Phạm,fa:m6
玄,Huyền,hwien2
玉,Ngọc,ŋɔk8
瓜,Qua,qwa:1
甘,Cam,ka:m1
生,Sinh,ʂiɲ1
用,Dụng,zuŋ6
田,Điền,dien2
由,Do,zɔ1
甲,Giáp,ʑa:p7
申,Thân,t'ɤn1
疋,Nhã,ɲa:4
疋,Sơ,ʂɤ:1
疒,Nạch,na:ʧ8
癶,Bát,ba:t7
白,Bạch,ba:ʧ8
皮,Bì,bi2
皿,Mãnh,ma:ɲ4
目,Mục,muk8
矛,Mâu,mɤw1
矢,Thỉ,t'i3
石,Thạch,t'a:ʧ8
示,Kì,ki2
示,Thị,t'i6
禾,Hòa,hwa:2
穴,Huyệt,hwiet8
立,Lập,lɤp8
艽,Giao,ʑa:w1
艽,Cừu,kɯw2
邘,Vu,vu1
邙,Mang,ma:ŋ1
邛,Cung,kuŋ1
阡,Thiên,t'ien1
阤,Đà,da:2
丞,Thừa,t'ɯɤ2
丞,Chưng,tʂɯŋ1
乩,Kê,ke1
亙,Cắng,kaŋ5
交,Giao,ʑa:w1
亥,Hợi,hɤ:j6
亦,Diệc,ziek8
仰,Ngưỡng,ŋɯɤŋ4
仲,Trọng,tʂɔŋ6
仳,Tỉ,ti3
仵,Ngỗ,ŋo4
件,Kiện,kien6
任,Nhậm,ɲɤm6
份,Phân,fɤn1
仿,Phảng,fa:ŋ3
企,Xí,si5
伃,Dư,zɯ1
伉,Kháng,xa:ŋ5
伊,Y,i1
伋,Cấp,kɤp7
伍,Ngũ,ŋu4
伎,Kĩ,ki4
伏,Phục,fuk8
伐,Phạt,fa:t8
休,Hưu,hɯw1
充,Sung,ʂuŋ1
兆,Triệu,tʂiew6
兇,Hung,huŋ1
先,Tiên,tien1
光,Quang,kwa:ŋ1
全,Toàn,twa:n2
共,Cộng,koŋ6
再,Tái,ta:j5
冰,Băng,baŋ1
冱,Hộ,ho6
冲,Xung,suŋ1
刎,Vẫn,vɤn4
刑,Hình,hiɲ2
刓,Ngoan,ŋwa:n1
刖,Ngoạt,ŋwa:t8
列,Liệt,liet8
劣,Liệt,liet8
匈,Hung,huŋ1
匠,Tượng,tɯɤŋ6
匡,Khuông,xuoŋ1
印,Ấn,ɤn5
危,Nguy,ŋwi1
吁,Hu,hu1
吃,Ngật,ŋɤt8
各,Các,ka:k7
合,Hợp,hɤ:p8
吉,Cát,ka:t7
同,Đồng,doŋ2
名,Danh,za:ɲ1
后,Hậu,hɤw6
吏,Lại,la:j6
吐,Thổ,t'o3
向,Hướng,hɯɤŋ5
吒,Trá,tʂa5
回,Hồi,hoj2
囟,Tín,tin5
因,Nhân,ɲɤn1
在,Tại,ta:j6
圬,Ô,o1
圭,Khuê,xwe1
圮,Bĩ,bi4
圯,Di,zi1
地,Địa,die6
壮,Tráng,tʂa:ŋ5
夙,Túc,tuk7
多,Đa,da:1
夷,Di,zi1
夸,Khoa,xwa:1
奼,Xá,sa:5
好,Hảo,ha:w3
好,Hiếu,hiew5
妁,Chước,tʂɯɤk7
如,Như,ɲɯ1
妃,Phi,fi1
妄,Vọng,vɔŋ6
字,Tự,tɯ6
存,Tồn,ton2
孙,Tôn,ton1
宅,Trạch,tʂa:ʧ8
宇,Vũ,vu4
守,Thủ,t'u3
守,Thú,t'u5
安,An,a:n1
寺,Tự,tɯ6
尖,Tiêm,tiem1
屹,Ngật,ŋɤt8
屺,Dĩ,zi4
屼,Ngột,ŋot8
岌,Ngập,ŋɤp8
州,Châu,tʂɤw1
巡,Tuần,twɤn2
帆,Phàm,fa:m2
年,Niên,nien1
延,Diên,zien1
廷,Đình,diɲ2
弎,Tam,ta:m1
式,Thức,t'ɯk7
弛,Thỉ,t'i3
忖,Thốn,t'on5
忙,Mang,ma:ŋ1
戌,Tuất,twɤt7
戍,Thú,t'u5
戎,Nhung,ɲuŋ1
成,Thành,t'a:ɲ2
扛,Giang,ʑa:ŋ1
扞,Hãn,ha:n4
扢,Cột,kot8
扣,Khấu,xɤw5
扱,Tráp,tʂa:p7
收,Thu,t'u1
攷,Khảo,xa:w3
旨,Chỉ,tʂi3
早,Tảo,ta:w3
旬,Tuần,twɤn2
旭,Húc,huk7
曲,Khúc,xuk7
有,Hữu,hɯw4
朱,Chu,tʂu1
朴,Phác,fa:k7
朵,Đóa,dwa:5
朽,Hủ,hu3
次,Thứ,t'ɯ5
此,Thử,t'ɯ3
死,Tử,tɯ3
汊,Xá,sa:5
汍,Hoàn,hwa:n2
汎,Phiếm,fiem5
汐,Tịch,tiʧ8
汕,Sán,ʂa:n5
汗,Hãn,ha:n4
汙,Ố,o5
汛,Tấn,tɤn5
汜,Tỉ,ti3
汝,Nhữ,ɲɯ4
江,Giang,ʑa:ŋ1
池,Trì,tʂi2
污,Ô,o1
汲,Cấp,kɤp7
灰,Hôi,hoj1
灰,Khôi,xoj1
牝,Tẫn,tɤn4
牟,Mâu,mɤw1
犴,Ngạn,ŋa:n6
犴,Ngan,ŋa:n1
百,Bách,ba:ʧ7
礽,Nhưng,ɲɯŋ1
祁,Kì,ki2
穵,Ấp,ɤp7
穵,Oạt,wa:t8
竹,Trúc,tʂuk7
米,Mễ,me4
糸,Mịch,miʧ8
缶,Phẫu,fɤw4
羊,Dương,zɯɤŋ1
羽,Vũ,vu4
老,Lão,la:w4
考,Khảo,xa:w3
而,Nhi,ɲi1
耒,Lỗi,loj4
耳,Nhĩ,ɲi4
聿,Duật,zuɤt8
肉,Nhục,ɲuk8
肋,Lặc,lak8
肌,Cơ,kɤ:1
肎,Khẳng,xaŋ3
臣,Thần,t'ɤn2
自,Tự,tɯ6
至,Chí,tʂi5
臼,Cữu,kɯw4
舌,Thiệt,t'iet8
舛,Suyễn,ʂwien4
舟,Châu,tʂɤw1
艮,Cấn,kɤn5
色,Sắc,ʂak7
艸,Thảo,t'a:w3
芃,Bồng,boŋ2
芄,Hoàn,hwa:n2
芊,Thiên,t'ien1
芋,Hu,hu1
芋,Dụ,zu6
芍,Thược,t'ɯɤk8
芎,Khung,xuŋ1
芑,Khỉ,xi3
芒,Mang,ma:ŋ1
芝,Chi,tʂi1
芨,Cập,kɤp8
虍,Hô,ho1
虫,Hủy,hwi3
血,Huyết,hwiet7
血,Huyết,hwiet7
行,Hàng,ha:ŋ2
行,Hành,ha:ɲ2
行,Hạnh,ha:ɲ6
衣,Y,i1
衣,Ý,i5
襾,Á,a:5
西,Tê (Tây),te1
迂,Vu,vu1
迄,Hất,hɤt7
迅,Tấn,tɤn5
迆,Dĩ,zi4
邠,Bân,bɤn1
邡,Phương,fɯɤŋ1
邢,Hình,hiɲ2
那,Na,na:1
邦,Bang,ba:ŋ1
邨,Thôn,t'on1
邪,Tà,ta:2
邪,Da,za:1
阪,Phản,fa:n3
阬,Khanh,xa:ɲ1
阮,Nguyễn,ŋwien4
阯,Chỉ,tʂi3
阱,Tịnh,tiɲ6
防,Phòng,fɔŋ2
并,Tinh,tiɲ1
并,Tịnh,tiɲ6
丣,Dậu,zɤw6
串,Xuyến,swien5
亨,Hanh,ha:ɲ1
伯,Bá,ba:5
估,Cổ,ko3
伱,Nễ,ne4
伴,Bạn,ba:n6
伶,Linh,liɲ1
伸,Thân,t'ɤn1
伺,Tứ,tɯ5
伻,Bình,biɲ2
似,Tự,tɯ6
伽,Già,ʑa:2
佃,Điền,dien2
但,Đãn,da:n4
佇,Trữ,tʂɯ4
佈,Bố,bo5
佉,Khư,xɯ1
佋,Thiệu,t'iew6
位,Vị,vi6
低,Đê,de1
住,Trụ,tʂu6
住,Trú,tʂu5
佐,Tá,ta:5
佑,Hựu,hɯw6
佔,Chiếm,tʂiem5
何,Hà,ha:2
佗,Đà,da:2
佗,Tha,t'a:1
余,Dư,zɯ1
佚,Dật,zɤt8
佛,Phật,fɤt8
作,Tác,ta:k7
佞,Nịnh,niɲ6
佟,Đông,doŋ1
你,Nhĩ,ɲi4
克,Khắc,xak7
兌,Đoài,dwa:j2
免,Miễn,mien4
兕,Hủy,hwi3
兵,Binh,biɲ1
况,Huống,huoŋ5
冶,Dã,za:4
冷,Lãnh,la:ɲ4
初,Sơ,ʂɤ:1
删,San,ʂa:n1
判,Phán,fa:n5
別,Biệt,biet8
利,Lợi,lɤ:j6
助,Trợ,tʂɤ:6
努,Nỗ,no4
劫,Kiếp,kiep7
劬,Cù,ku2
劭,Thiệu,t'iew6
匣,Hạp,ha:p8
卣,Dữu,zɯw4
卲,Thiệu,t'iew6
即,Tức,tɯk7
卵,Noãn,nwa:n4
厎,Chỉ,tʂi3
君,Quân,kwɤn1
吝,Lận,lɤn6
吞,Thôn,t'on1
吟,Ngâm,ŋɤm1
吠,Phệ,fe6
否,Phủ,fu3
否,Bĩ,bi4
吧,Ba,ba:1
吪,Ngoa,ŋwa:1
含,Hàm,ha:m2
吭,Hàng,ha:ŋ2
吮,Duyện,zwien6
启,Khải,xa:j3
吱,Chi,tʂi1
吳,Ngô,ŋo1
吵,Sảo,ʂa:w3
吶,Niệt,niet8
吸,Hấp,hɤp7
吹,Xuy,swi1
吹,Xúy,swi5
吻,Vẫn,vɤn4
吼,Hống,hoŋ5
吽,Hồng,hoŋ2
吾,Ngô,ŋo1
呀,Nha,ɲa:1
呂,Lữ,lɯ4
呃,Ách,a:ʧ7
呈,Trình,tʂiɲ2
告,Cáo,ka:w5
告,Cốc,kok7
囤,Độn,don6
囪,Thông,t'oŋ1
囪,Song,ʂɔŋ1
囮,Ngoa,ŋwa:1
困,Khốn,xon5
圻,Kì,ki2
址,Chỉ,tʂi3
坂,Phản,fa:n3
均,Quân,kwɤn1
坊,Phường,fɯɤŋ2
坌,Bộn,bon6
坍,Than,t'a:n1
坎,Khảm,xa:m3
坏,Phôi,foj1
坐,Tọa,twa:6
坑,Khanh,xa:ɲ1
块,Khối,xoj5
壯,Tráng,tʂa:ŋ5
夆,Phùng,fuŋ2
夾,Giáp,ʑa:p7
妊,Nhâm,ɲɤm1
妍,Nghiên,ŋien1
妒,Đố,do5
妓,Kĩ,ki4
妖,Yêu,iew1
妙,Diệu,ziew6
妝,Trang,tʂa:ŋ1
妣,Tỉ,ti3
妤,Dư,zɯ1
妥,Thỏa,t'wa:3
妨,Phương,fɯɤŋ1
姊,Tỉ,ti3
姒,Tự,tɯ6
孚,Phu,fu1
孛,Bột,bot8
孜,Tư,tɯ1
孝,Hiếu,hiew5
宋,Tống,toŋ5
完,Hoàn,hwa:n2
宏,Hoằng,hwaŋ2
尨,Mang,ma:ŋ1
尪,Uông,uoŋ1
尬,Giới,ʑɤ:j5
尾,Vĩ,vi4
尿,Niệu,niew6
局,Cục,kuk8
屁,Thí,t'i5
岐,Kì,ki2
岑,Sầm,ʂɤm2
岔,Xóa,swa:5
岔,Xá,sa:5
巵,Chi,tʂi1
希,Hi,hi1
庇,Tí,ti5
床,Sàng,ʂa:ŋ2
庋,Quỷ,kwi3
庋,Kĩ,ki4
序,Tự,tɯ6
弄,Lộng,loŋ6
弟,Đễ,de4
弟,Đệ,de6
形,Hình,hiɲ2
彤,Đồng,doŋ2
彷,Bàng,ba:ŋ2
彷,Phảng,fa:ŋ3
役,Dịch,ziʧ8
忌,Kị,ki6
忍,Nhẫn,ɲɤn4
忒,Thắc,t'ak7
志,Chí,tʂi5
忘,Vong,vɔŋ1
忡,Xung,suŋ1
忤,Ngỗ,ŋo4
快,Khoái,xwa:j5
忭,Biện,bien6
忮,Kĩ,ki4
忱,Thầm,t'ɤm2
忸,Nữu,nɯw4
忻,Hân,hɤn1
忼,Khảng,xa:ŋ3
我,Ngã,ŋa:4
戒,Giới,ʑɤ:j5
戼,Mão,ma:w4
扭,Nữu,nɯw4
扮,Bán,ba:n5
扯,Xả,sa:3
扳,Ban,ba:n1
扵,Ư,ɯ1
扶,Phù,fu2
批,Phê,fe1
扺,Chỉ,tʂi3
扼,Ách,a:ʧ7
技,Kĩ,ki4
抃,Biện,bien6
抄,Sao,ʂa:w1
抆,Vấn,vɤn5
抉,Quyết,kwiet7
把,Bả,ba:3
抑,Ức,ɯk7
抒,Trữ,tʂɯ4
抓,Trao,tʂa:w1
抓,Trảo,tʂa:w3
抔,Bồi,boj2
投,Đầu,dɤw2
抖,Đẩu,dɤw3
抗,Kháng,xa:ŋ5
折,Chiết,tʂiet7
拋,Phao,fa:w1
拒,Cự,kɯ6
拟,Nghĩ,ŋi4
攸,Du,zu1
改,Cải,ka:j3
攻,Công,koŋ1
旰,Cán,ka:n5
旱,Hạn,ha:n6
更,Canh,ka:ɲ1
更,Cánh,ka:ɲ5
杅,Vu,vu1
杆,Can,ka:n1
杇,Ô,o1
杈,Xoa,swa:1
杉,Sam,ʂa:m1
杌,Ngột,ŋot8
李,Lí,li5
杏,Hạnh,ha:ɲ6
材,Tài,ta:j2
村,Thôn,t'on1
杓,Thược,t'ɯɤk8
杕,Đệ,de6
杖,Trượng,tʂɯɤŋ6
杗,Mang,ma:ŋ1
杙,Dặc,zak8
杜,Đỗ,do4
杞,Kỉ,ki3
束,Thúc,t'uk7
杠,Giang,ʑa:ŋ1
步,Bộ,bo6
每,Mỗi,moj4
求,Cầu,kɤw2
汞,Hống,hoŋ5
汧,Khiên,xien1
汨,Mịch,miʧ8
汩,Cốt,kot7
汪,Uông,uoŋ1
汭,Nhuế,ɲwe5
汰,Thải,t'a:j3
汴,Biện,bien6
汶,Vấn,vɤn5
決,Quyết,kwiet7
汾,Phần,fɤn2
沁,Thấm,t'ɤm5
沂,Nghi,ŋi1
沃,Ốc,ok7
沅,Nguyên,ŋwien1
沆,Hàng,ha:ŋ2
沆,Hãng,ha:ŋ4
沇,Duyện,zwien6
沉,Trầm,tʂɤm2
沌,Độn,don6
沐,Mộc,mok8
沒,Một,mot8
沔,Miện,mien6
沖,Xung,suŋ1
沙,Sa,ʂa:1
沚,Chỉ,tʂi3
沛,Bái,ba:j5
泐,Lặc,lak8
泛,Phiếm,fiem5
灸,Cứu,kɯw5
灼,Chước,tʂɯɤk7
災,Tai,ta:j1
牡,Mẫu,mɤw4
牢,Lao,la:w1
牣,Nhận,ɲɤn6
狁,Duẫn,zuɤn4
狂,Cuồng,kuoŋ2
狃,Nữu,nɯw4
狄,Địch,diʧ8
玕,Can,ka:n1
玖,Cửu,kɯw3
甫,Phủ,fu3
甬,Dũng,zuŋ4
男,Nam,na:m1
甸,Điện,dien6
町,Đinh,diɲ1
疓,Đinh,diɲ1
皁,Tạo,ta:w6
盯,Trành,tʂa:ɲ2
盯,Đinh,diɲ1
矣,Hĩ,hi4
社,Xã,sa:4
礿,Dược,zɯɤk8
祀,Tự,tɯ6
禿,Ngốc,ŋok7
秀,Tú,tu5
私,Tư,tɯ1
究,Cứu,kɯw5
穷,Cùng,kuŋ2
系,Hệ,he6
罕,Hãn,ha:n4
羋,Mị,mi6
羌,Khương,xɯɤŋ1
肓,Hoang,hwan:ŋ1
肖,Tiếu,tiew5
肘,Trửu,tʂɯw3
肚,Đỗ,do4
肛,Giang,ʑa:ŋ1
肝,Can,ka:n1
良,Lương,lɯɤŋ1
芘,Tỉ,ti3
芘,Tí,ti5
芙,Phù,fu2
芟,Sam,ʂa:m1
芡,Khiếm,xiem5
芣,Phù,fu2
芥,Giới,ʑɤ:j5
芧,Trữ,tʂɯ4
芩,Cầm,kɤm2
芪,Kì,ki2
芫,Nguyên,ŋwien1
芬,Phân,fɤn1
芭,Ba,ba:1
芮,Nhuế,ɲwe5
芰,Kị,ki6
花,Hoa,hwa:1
芳,Phương,fɯɤŋ1
芷,Chỉ,tʂi3
芸,Vân,vɤn1
芹,Cần,kɤn2
芼,Mạo,ma:w6
芽,Nha,ɲa:1
芾,Phất,fɤt7
