汉字,漢越語,IPA
洳,Như,ɲɯ1
洴,Bình,biɲ2
洵,Tuân,twɤn1
洶,Hung,huŋ1
洸,Quang,kwa:ŋ1
洹,Hoàn,hwa:n2
活,Hoạt,hwa:t8
洽,Hiệp,hiep8
派,Phái,fa:j5
洿,Ô,o1
涎,Duyên,zwien1
涎,Diện,zien6
炤,Chiếu,tʂiew5
炫,Huyễn,hwien4
炭,Thán,t'a:n5
炮,Bào,ba:w2
炮,Pháo,fa:w5
炯,Quýnh,kwiɲ5
炰,Bào,ba:w2
炱,Đài,da:j2
炳,Bỉnh,biɲ3
炷,Chú,tʂu5
爰,Viên,vien1
爼,Trở,tʂɤ:3
牁,Ca,ka:1
牯,Cổ,ko3
牲,Sinh,ʂiɲ1
牴,Để,de3
牵,Khiên,xien1
狡,Giảo,ʑa:w3
狨,Nhung,ɲuŋ1
狩,Thú,t'u5
玅,Diệu,ziew6
玲,Linh,liɲ1
玳,Đại,da:j6
玷,Điếm,diem5
玻,Pha,fa:1
珀,Phách,fa:ʧ7
珂,Kha,xa:1
珈,Già,ʑa:2
珉,Mân,mɤn1
珊,San,ʂa:n1
珍,Trân,tʂɤn1
瓴,Linh,liɲ1
甚,Thậm,t'ɤm6
畋,Điền,dien2
界,Giới,ʑɤ:j5
畎,Quyến,kwien5
畏,Úy,wi5
疢,Sấn,ʂɤn5
疣,Vưu,vɯw1
疤,Ba,ba:1
疥,Giới,ʑɤ:j5
疫,Dịch,ziʧ8
癸,Quý,kwi5
皆,Giai,ʑa:j1
皇,Hoàng,hwan:ŋ2
盃,Bôi,boj1
盅,Chung,tʂuŋ1
盆,Bồn,bon2
盈,Doanh,zwa:ɲ1
相,Tương,tɯɤŋ1
相,Tướng,tɯɤŋ5
盹,Truân,tʂwɤn1
盻,Hễ,he4
盼,Phán,fa:n5
盾,Thuẫn,t'wɤn4
省,Tỉnh,tiɲ3
省,Tỉnh,tiɲ3
眄,Miện,mien6
眇,Miễu,miew4
眈,Đam,da:m1
眉,Mi,mi1
眊,Mạo,ma:w6
看,Khán,xa:n5
看,Khan,xa:n1
眨,Trát,tʂa:t7
矜,Căng,kaŋ1
矦,Hầu,hɤw2
矧,Thẩn,t'ɤn3
矩,Củ,ku3
砂,Sa,ʂa:1
砉,Hoạch,hwa:ʧ8
砌,Thế,t'e5
砑,Nhạ,ɲa:6
砒,Tì,ti2
研,Nghiên,ŋien1
砭,Biêm,biem1
祐,Hữu,hɯw4
祓,Phất,fɤt7
祔,Phụ,fu6
祕,Bí,bi5
祖,Tổ,to3
祗,Chi,tʂi1
祚,Tộ,to6
祛,Khư,xɯ1
祜,Hỗ,ho4
祝,Chú,tʂu5
祝,Chúc,tʂuk7
神,Thần,t'ɤn2
祠,Từ,tɯ2
祢,Nỉ,ni3
禹,Vũ,vu4
禺,Ngu,ŋu1
秋,Thu,t'u1
科,Khoa,xwa:1
秒,Miểu,miew3
秔,Canh,ka:ɲ1
秕,Bỉ,bi3
秬,Cự,kɯ6
秭,Tỉ,ti3
穽,Tỉnh,tiɲ3
穿,Xuyên,swien1
窀,Truân,tʂwɤn1
突,Đột,dot8
窆,Biếm,biem5
竽,Vu,vu1
竿,Can,ka:n1
笈,Cấp,kɤp7
紀,Kỉ,ki3
紂,Trụ,tʂu6
紃,Xuyên,swien1
約,Ước,ɯɤk7
紅,Hồng,hoŋ2
紆,Hu,hu1
紇,Hột,hot8
紈,Hoàn,hwa:n2
紉,Nhân,ɲɤn1
級,Cấp,kɤp7
缸,Cang,ka:ŋ1
罘,Phù,fu2
美,Mĩ,mi4
羑,Dũ,zu4
羾,Hồng,hoŋ2
羿,Nghệ,ŋe6
耇,Cẩu,kɤw3
耎,Nhuyễn,ɲwien4
耐,Nại,na:j6
耔,Tỉ,ti3
胃,Vị,vi6
胄,Trụ,tʂu6
背,Bội,boj6
背,Bối,boj5
胎,Thai,t'a:j1
胖,Bàn,ba:n2
胙,Tộ,to6
胚,Phôi,foj1
胛,Giáp,ʑa:p7
胝,Chi,tʂi1
胞,Bào,ba:w2
胠,Khư,xɯ1
胡,Hồ,ho2
胤,Dận,zɤn6
胥,Tư,tɯ1
臿,Tráp,tʂa:p7
舁,Dư,zɯ1
舡,Hang,ha:ŋ1
茈,Sài,ʂa:j2
茗,Mính,miɲ5
茜,Thiến,t'ien5
茨,Tì,ti2
茫,Mang,ma:ŋ1
茭,Giao,ʑa:w1
茯,Phục,fuk8
茱,Thù,t'u2
茲,Tư,tɯ1
茴,Hồi,hoj2
茵,Nhân,ɲɤn1
茶,Trà,tʂa2
茸,Nhung,ɲuŋ1
茹,Như,ɲɯ1
茹,Nhự,ɲɯ6
茺,Sung,ʂuŋ1
荀,Tuần,twɤn2
荃,Thuyên,t'wien1
荄,Cai,ka:j1
荅,Đáp,da:p7
荇,Hạnh,ha:ɲ6
荈,Suyễn,ʂwien4
草,Thảo,t'a:w3
荊,Kinh,kiɲ1
荏,Nhẫm,ɲɤm4
荐,Tiến,tien5
荑,Di,zi1
荑,Đề,de2
荒,Hoang,hwan:ŋ1
荔,Lệ,le6
莒,Cử,kɯ3
莛,Đình,diɲ2
虐,Ngược,ŋɯɤk8
虹,Hồng,hoŋ2
虺,Hôi,hoj1
虺,Hủy,hwi3
蚤,Tảo,ta:w3
衁,Hoang,hwan:ŋ1
衍,Diễn,zien4
衎,Khản,xa:n3
衭,Phu,fu1
衲,Nạp,na:p8
衵,Nật,nɤt8
衽,Nhẫm,ɲɤm4
衿,Câm,kɤm1
袂,Mệ,me6
袂,Duệ,zwe6
袄,Áo,a:w5
要,Yêu,iew1
要,Yếu,iew5
訂,Đính,diɲ5
訃,Phó,fɔ5
訇,Hoanh,hwa:ɲ1
計,Kế,ke5
貞,Trinh,tʂiɲ1
負,Phụ,fu6
赳,Củ,ku3
赴,Phó,fɔ5
軌,Quỹ,kwi4
軍,Quân,kwɤn1
迷,Mê,me1
迸,Bính,biɲ5
迹,Tích,tiʧ7
迺,Nãi,na:j4
迻,Di,zi1
追,Truy,tʂwi1
退,Thoái,t'wa:j5
送,Tống,toŋ5
适,Quát,kwa:t7
逃,Đào,da:w2
逄,Bàng,ba:ŋ2
逅,Cấu,kɤw5
逆,Nghịch,ŋiʧ8
郛,Phu,fu1
郜,Cáo,ka:w5
郝,Hác,ha:k7
郟,Giáp,ʑa:p7
郡,Quận,kwɤn6
郢,Dĩnh,ziɲ4
郤,Khích,xiʧ7
酊,Đính,diɲ5
酋,Tù,tu2
重,Trùng,tʂuŋ2
重,Trọng,tʂɔŋ6
閂,Soan,ʂwa:n1
陛,Bệ,be6
陜,Thiểm,t'iem3
陝,Thiểm,t'iem3
陞,Thăng,t'aŋ1
陟,Trắc,tʂak7
陡,Đẩu,dɤw3
院,Viện,vien6
陣,Trận,tʂɤn6
除,Trừ,tʂɯ2
面,Diện,zien6
革,Cách,ka:ʧ7
韋,Vi,vi1
韭,Cửu,kɯw3
音,Âm,ɤm1
頁,Hiệt,hiet8
風,Phong,fɔŋ1
飛,Phi,fi1
食,Thực,t'ɯk8
首,Thủ,t'u3
首,Thú,t'u5
香,Hương,hɯɤŋ1
骨,Cốt,kot7
鬼,Quỷ,kwi3
鳧,Phù,fu2
乘,Thừa,t'ɯɤ2
乘,Thặng,t'aŋ6
亳,Bạc,ba:k8
俯,Phủ,fu3
俱,Câu,kɤw1
俳,Bài,ba:j2
俵,Biểu,biew3
俶,Thục,t'uk8
俸,Bổng,boŋ3
俺,Yêm,iem1
俾,Tỉ,ti3
倀,Trành,tʂa:ɲ2
倅,Thối,t'oj5
倅,Tốt,tot7
倈,Lai,la:j1
倉,Thương,t'ɯɤŋ1
個,Cá,ka:5
倌,Quan,kwa:n1
倍,Bội,boj6
倏,Thúc,t'uk7
倒,Đảo,da:w3
倒,Đảo,da:w3
倔,Quật,kwɤt8
倖,Hãnh,ha:ɲ4
候,Hậu,hɤw6
倚,Ỷ,i3
倜,Thích,t'iʧ7
借,Tá,ta:5
倡,Xướng,sɯɤŋ5
倢,Tiệp,tiep8
倣,Phỏng,fɔŋ3
倥,Không,koŋ1
倦,Quyện,kwien6
倨,Cứ,kɯ5
倩,Thiến,t'ien5
倪,Nghê,ŋe1
倫,Luân,lwɤn1
倬,Trác,tʂa:k7
倭,Oa,wa:1
值,Trị,tʂi6
健,Kiện,kien6
兼,Kiêm,kiem1
冓,Cấu,kɤw5
冔,Hu,hu1
冢,Trủng,tʂuŋ3
冤,Oan,wa:n1
冥,Minh,miɲ1
凄,Thê,t'e1
准,Chuẩn,tʂwɤn3
凇,Tùng,tuŋ2
凉,Lương,lɯɤŋ1
凊,Sảnh,ʂa:ɲ3
凋,Điêu,diew1
凌,Lăng,laŋ1
凍,Đống,doŋ5
剔,Dịch,ziʧ8
剕,Phí,fi5
剖,Phẫu,fɤw4
剗,Sản,ʂa:n3
剚,Chí,tʂi5
剛,Cương,kɯɤŋ1
剜,Oan,wa:n1
剝,Bác,ba:k7
剞,Ỷ,i3
剟,Xuyết,swiet7
剡,Diệm,ziem6
剮,Quả,qwa:3
勑,Lai,la:j1
務,Vụ,vu6
匪,Phỉ,fi3
匿,Nặc,nak8
卿,Khanh,xa:ɲ1
厝,Thố,t'o5
原,Nguyên,ŋwien1
叟,Tẩu,tɤw3
員,Viên,vien1
哢,Lộng,loŋ6
哥,Ca,ka:1
哦,Nga,ŋa:1
哨,Tiêu,tiew1
哨,Tiếu,tiew5
哭,Khốc,xok7
哮,Hao,ha:w1
哲,Triết,tʂiet7
哳,Triết,tʂiet7
哺,Bộ,bo6
哽,Ngạnh,ŋa:ɲ6
哿,Khả,xa:3
唁,Nghiễn,ŋien4
唄,Bái,ba:j5
唅,Hám,ha:m5
唆,Toa,twa:1
唇,Thần,t'ɤn2
唈,Ấp,ɤp7
唉,Ai,a:j1
唏,Hí,hi1
唐,Đường,dɯɤŋ2
唧,Tức,tɯk7
圃,Phố,fo5
圄,Ngữ,ŋɯ4
圅,Hàm,ha:m2
垻,Bá,ba:5
埂,Canh,ka:ɲ1
埃,Ai,a:j1
埋,Mai,ma:j1
埒,Liệt,liet8
夏,Hạ,ha:6
套,Sáo,ʂa:w5
奘,Trang,tʂa:ŋ1
奚,Hề,he2
姬,Cơ,kɤ:1
娉,Phinh,fiɲ1
娌,Lí,li5
娑,Sa,ʂa:1
娓,Vỉ,vi3
娘,Nương,nɯɤŋ1
娛,Ngu,ŋu1
娟,Quyên,kwien1
娠,Thần,t'ɤn2
娥,Nga,ŋa:1
娩,Vãn,va:n4
娩,Miễn,mien4
孫,Tôn,ton1
宮,Cung,kuŋ1
宰,Tể,te3
害,Hại,ha:j6
宴,Yến,ien5
宵,Tiêu,tiew1
家,Gia,ʑa:1
宸,Thần,t'ɤn2
容,Dung,zuŋ1
射,Dạ,za:6
射,Xạ,sa:6
射,Dịch,ziʧ8
將,Tương,tɯɤŋ1
將,Tướng,tɯɤŋ5
屐,Kịch,kiʧ8
屑,Tiết,tiet7
展,Triển,tʂien3
屙,A,a:1
峨,Nga,ŋa:1
峭,Tiễu,tiew4
峯,Phong,fɔŋ1
峴,Hiện,hien6
島,Đảo,da:w3
峻,Tuấn,twɤn5
峽,Hạp,ha:p8
崃,Lai,la:j1
帨,Thuế,t'we5
師,Sư,ʂɯ1
席,Tịch,tiʧ8
座,Tọa,twa:6
庫,Khố,ko5
弱,Nhược,ɲɯɤk8
徐,Từ,tɯ2
徑,Kính,kiɲ5
徒,Đồ,do2
恁,Nhẫm,ɲɤm4
恐,Khủng,xuŋ3
恐,Khúng,xuŋ5
恕,Thứ,t'ɯ5
恙,Dạng,za:ŋ6
恚,Khuể,xwe3
恣,Tứ,tɯ5
恥,Sỉ,ʂi3
恧,Nục,nuk8
恩,Ân,ɤn1
恭,Cung,kuŋ1
息,Tức,tɯk7
悁,Quyên,kwien1
悃,Khổn,xon3
悄,Tiễu,tiew4
悅,Duyệt,zwiet8
悌,Đễ,de4
悍,Hãn,ha:n4
悒,Ấp,ɤp7
悔,Hổi,hoj3
悔,Hối,hoj5
悖,Bội,boj6
悚,Tủng,tuŋ3
悛,Thuân,t'wɤn1
悝,Khôi,xoj1
悝,Lí,li5
悞,Ngộ,ŋo6
悟,Ngộ,ŋo6
悢,Lượng,lɯɤŋ6
扆,Ỷ,i3
扇,Thiên,t'ien1
扇,Phiến,fien5
拳,Quyền,kwien2
挈,Khiết,xiep7
挐,Noa,nwa:1
挐,Nư,nɯ1
挨,Ải,a:j3
挫,Tỏa,twa:3
振,Chấn,tʂɤn5
挱,Sa,ʂa:1
挹,Ấp,ɤp7
挼,Noa,nwa:1
挽,Vãn,va:n4
挾,Hiệp,hiep8
捃,Quấn,kwɤn5
捉,Tróc,tʂɔk7
捋,Loát,lwa:t7
捌,Bát,ba:t7
捍,Hãn,ha:n4
捎,Sao,ʂa:w1
捏,Niết,niet7
捐,Quyên,kwien1
捕,Bộ,bo6
效,Hiệu,hiew6
敉,Mị,mi6
敖,Ngao,ŋa:w1
料,Liệu,liew6
旁,Bàng,ba:ŋ2
旂,Kì,ki2
旃,Chiên,tʂien1
旄,Mao,ma:w1
旄,Mạo,ma:w6
旅,Lữ,lɯ4
旆,Bái,ba:j5
晁,Triều,tʂiew2
時,Thời,t'ɤ:j2
晃,Hoảng,hwan:ŋ3
晉,Tấn,tɤn5
晏,Yến,ien5
晚,Vãn,va:n4
晜,Côn,kon1
晝,Trú,tʂu5
晞,Hi,hi1
晟,Thịnh,t'iɲ6
書,Thư,t'ɯ1
朒,Nục,nuk8
朔,Sóc,ʂɔk7
朕,Trẫm,tʂɤm4
朗,Lãng,la:ŋ4
柴,Sài,ʂa:j2
栓,Xuyên,swien1
栖,Thê,t'e1
栖,Tê,te1
栗,Lật,lɤt8
栘,Di,zi1
栝,Quát,kwa:t7
栞,San,ʂa:n1
栟,Kiên,kien1
校,Hiệu,hiew6
校,Giáo,ʑa:w5
栩,Hủ,hu3
株,Chu,tʂu1
栱,Củng,kuŋ3
栲,Khảo,xa:w3
栳,Lão,la:w4
栴,Chiên,tʂien1
核,Hạch,ha:ʧ8
根,Căn,kan1
格,Cách,ka:ʧ7
栽,Tài,ta:j2
桀,Kiệt,kiet8
桁,Hành,ha:ɲ2
桁,Hàng,ha:ŋ2
桂,Quế,kwe5
桃,Đào,da:w2
桄,Quang,kwa:ŋ1
桄,Quáng,kwa:ŋ5
桅,Nguy,ŋwi1
框,Khuông,xuoŋ1
案,Án,a:n5
桌,Trác,tʂa:k7
桎,Chất,tʂɤt7
桐,Đồng,doŋ2
桑,Tang,ta:ŋ1
桓,Hoàn,hwa:n2
桔,Kết,ket7
梃,Đĩnh,diɲ4
梆,Bang,ba:ŋ1
條,Điều,diew2
梠,Lữ,lɯ4
梢,Sao,ʂa:w1
梧,Ngô,ŋo1
梨,Lê,le1
欬,Khái,xa:j5
歬,Tiền,tien2
殉,Tuẫn,twɤn4
殊,Thù,t'u2
殷,Ân,ɤn1
殺,Sát,ʂa:t7
氣,Khí,xi5
氤,Nhân,ɲɤn1
泰,Thái,t'a:j5
流,Lưu,lɯw1
浙,Chiết,tʂiet7
浚,Tuấn,twɤn5
浜,Banh,ba:ɲ1
浞,Trác,tʂa:k7
浡,Bột,bot8
浣,Hoán,hwa:n5
浥,Ấp,ɤp7
浦,Phố,fo5
浩,Hạo,ha:w6
浪,Lang,la:ŋ5
浪,Lãng,la:ŋ4
浭,Canh,ka:ɲ1
浮,Phù,fu2
浰,Lợi,lɤ:j6
浴,Dục,zuk8
海,Hải,ha:j3
浸,Tẩm,tɤm3
浹,Tiếp,tiep7
浺,Xung,suŋ1
浼,Miễn,mien4
浽,Tuy,twi1
浿,Phái,fa:j5
浿,Phối,foj5
涂,Đồ,do2
涅,Niết,niet7
涇,Kinh,kiɲ1
消,Tiêu,tiew1
涉,Thiệp,t'iep8
涊,Niễn,nien4
涌,Dũng,zuŋ4
涑,Tốc,tok7
涓,Quyên,kwien1
涔,Sầm,ʂɤm2
涕,Thế,t'e5
涖,Lị,li6
涘,Sĩ,ʂi4
烈,Liệt,liet8
烊,Dương,zɯɤŋ1
烏,Ô,o1
烖,Tai,ta:j1
烘,Hồng,hoŋ2
烙,Lạc,la:k8
烝,Chưng,tʂɯŋ1
烟,Yên,ien1
爹,Đa,da:1
牂,Tang,ta:ŋ1
牸,Tự,tɯ6
特,Đặc,dak8
狴,Bệ,be6
狷,Quyến,kwien5
狸,Li,li1
狹,Hiệp,hiep8
狺,Ngân,ŋɤn1
狻,Toan,twa:n1
狼,Lang,la:ŋ1
狽,Bái,ba:j5
珙,Củng,kuŋ3
珞,Lạc,la:k8
珠,Châu,tʂɤw1
珥,Nhị,ɲi6
珧,Diêu,ziew1
珩,Hành,ha:ɲ2
珪,Khuê,xwe1
班,Ban,ba:n1
珮,Bội,boj6
琊,Gia,ʑa:1
瓞,Điệt,diet8
瓶,Bình,biɲ2
瓷,Từ,tɯ2
甡,Sân,ʂɤn1
畔,Bạn,ba:n6
留,Lưu,lɯw1
畚,Bổn,bon3
畛,Chẩn,tʂɤn3
畜,Súc,ʂuk7
畜,Húc,huk7
畝,Mẫu,mɤw4
畢,Tất,tɤt7
疰,Chú,tʂu5
疲,Bì,bi2
疴,Kha,xa:1
疸,Đản,da:n3
疹,Chẩn,tʂɤn3
疼,Đông,doŋ1
疽,Thư,t'ɯ1
疾,Tật,tɤt8
疿,Phi,fi1
痀,Câu,kɤw1
痁,Thiêm,t'iem1
痁,Thiêm,t'iem1
痂,Già,ʑa:2
痃,Huyền,hwien2
痄,Chá,tʂa:5
病,Bệnh,beɲ6
皋,Cao,ka:w1
皰,Pháo,fa:w5
益,Ích,iʧ7
盍,Hạp,ha:p8
盎,Áng,a:ŋ5
眙,Di,zi1
眙,Dị,zi6
眚,Sảnh,ʂa:ɲ3
眛,Muội,muoj6
真,Chân,tʂɤn1
眠,Miên,mien1
眢,Oan,wa:n1
眩,Huyễn,hwien4
砝,Pháp,fa:p7
砥,Chỉ,tʂi3
砧,Châm,tʂɤm1
砮,Nỗ,no4
破,Phá,fa:5
祟,Trúy,tʂwi5
祥,Tường,tɯɤŋ2
祧,Thiêu,t'iew1
祫,Hợp,hɤ:p8
秘,Bí,bi5
租,Tô,to1
秣,Mạt,ma:t8
秤,Xứng,sɯŋ5
秦,Tần,tɤn2
秧,Ương,ɯɤŋ1
秩,Trật,tʂɤt8
秫,Thuật,t'wɤt8
窄,Trách,tʂa:ʧ7
窅,Yểu,iew3
窈,Yểu,iew3
站,Trạm,tʂa:m6
竚,Trữ,tʂɯ4
竝,Tịnh,tiɲ6
笄,Kê,ke1
笆,Ba,ba:1
笇,Toán,twa:n5
笊,Tráo,tʂa:w5
笋,Tuẩn,twɤn3
笏,Hốt,hot7
笑,Tiếu,tiew5
笫,Chỉ,tʂi3
粉,Phấn,fɤn5
紊,Vặn,van6
紋,Văn,van1
納,Nạp,na:p8
紐,Nữu,nɯw4
紓,Thư,t'ɯ1
純,Thuần,t'wɤn2
紕,Bì,bi2
紗,Sa,ʂa:1
紘,Hoành,hwa:ɲ2
紙,Chỉ,tʂi3
紛,Phân,fɤn1
紜,Vân,vɤn1
紝,Nhâm,ɲɤm1
素,Tố,to5
紡,Phưởng,fɯɤŋ3
索,Tác,ta:k7
索,Sách,ʂa:ʧ7
缺,Khuyết,xwiet7
罛,Cô,ko1
罝,Ta,ta:1
罟,Cổ,ko3
罠,Mân,mɤn1
羔,Cao,ka:w1
羖,Cổ,ko3
羞,Tu,tu1
翁,Ông,oŋ1
翃,Hoành,hwa:ɲ2
翅,Sí,ʂi5
耄,Mạo,ma:w6
耆,Kì,ki2
耕,Canh,ka:ɲ1
耘,Vân,vɤn1
耸,Tủng,tuŋ3
耽,Đam,da:m1
耿,Cảnh,ka:ɲ3
胭,Yên,ien1
胯,Khóa,xwa:5
胰,Di,zi1
胱,Quang,kwa:ŋ1
胴,Đỗng,doŋ4
胸,Hung,huŋ1
胹,Nhi,ɲi1
胼,Biền,bien2
能,Năng,naŋ1
脂,Chi,tʂi1
脃,Thúy,t'wi5
脅,Hiếp,hiep7
脆,Thúy,t'wi5
脊,Tích,tiʧ7
脡,Đĩnh,diɲ4
脩,Tu,tu1
臬,Nghiệt,ŋiet8
臭,Xú,su5
致,Trí,tʂi5
舀,Yểu,iew3
舐,Thỉ,t'i3
舩,Thuyền,t'wien2
航,Hàng,ha:ŋ2
舫,Phảng,fa:ŋ3
般,Ban,ba:n1
般,Bát,ba:t7
芻,Sô,ʂo1
茝,Chỉ,tʂi3
荳,Đậu,dɤw6
荷,Hà,ha:2
荻,Địch,diʧ8
荼,Đồ,do2
荽,Tuy,twi1
莅,Lị,li6
莆,Phủ,fu3
莉,Lị,li6
莊,Trang,tʂa:ŋ1
莎,Sa,ʂa:1
莓,Môi,moj1
莖,Hành,ha:ɲ2
莘,Sân,ʂɤn1
莘,Tân,tɤn1
莙,Quân,kwɤn1
莝,Toả,twa:3
莞,Hoàn,hwa:n2
莞,Hoản,hwa:n3
莠,Dửu,zɯw3
莢,Giáp,ʑa:p7
莧,Hiện,hien6
莨,Lang,la:ŋ1
莩,Phu,fu1
莩,Biễu,biew4
莪,Nga,ŋa:1
莫,Mạc,ma:k8
莽,Mãng,ma:ŋ4
華,Hoa,hwa:1
虒,Ti,ti1
虓,Hao,ha:w1
虔,Kiền,kien2
蚊,Văn,van1
蚋,Nhuế,ɲwe5
蚌,Bạng,ba:ŋ6
蚍,Tì,ti2
蚑,Kì,ki2
蚓,Dẫn,zɤn4
蚖,Ngoan,ŋwa:n1
蚘,Hồi,hoj2
蚣,Công,koŋ1
蚨,Phù,fu2
蚩,Xi,si1
蚪,Đẩu,dɤw3
衄,Nục,nuk8
衰,Suy,ʂwi1
衷,Trung,tʂuŋ1
衷,Trúng,tʂuŋ5
衺,Tà,ta:2
衾,Khâm,xɤm1
袁,Viên,vien1
袍,Bào,ba:w2
袒,Đản,da:n3
袖,Tụ,tu6
袗,Chẩn,tʂɤn3
袪,Khư,xɯ1
被,Bị,bi6
訊,Tấn,tɤn5
訌,Hồng,hoŋ2
討,Thảo,t'a:w3
訏,Hu,hu1
訐,Kiết,kiet7
訒,Nhẫn,ɲɤn4
訓,Huấn,hwɤn5
訕,Sán,ʂa:n5
訖,Ngật,ŋɤt8
託,Thác,t'a:k7
記,Kí,ki5
豇,Giang,ʑa:ŋ1
豈,Khởi,xɤ:j3
豗,Hôi,hoj1
豹,Báo,ba:w5
豺,Sài,ʂa:j2
豻,Ngan,ŋa:n1
財,Tài,ta:j2
貢,Cống,koŋ5
貤,Dị,zi6
貤,Di,zi1
起,Khởi,xɤ:j3
趵,Bác,ba:k7
趿,Táp,ta:p7
躬,Cung,kuŋ1
軏,Nguyệt,ŋwiet8
軏,Ngột,ŋot8
軒,Hiên,hien1
軔,Nhận,ɲɤn6
辱,Nhục,ɲuk8
逋,Bô,bo1
逍,Tiêu,tiew1
透,Thấu,t'ɤw5
逐,Trục,tʂuk8
逑,Cầu,kɤw2
途,Đồ,do2
逕,Kính,kiɲ5
逖,Địch,diʧ8
逗,Đậu,dɤw6
這,Giá,ʑa:5
通,Thông,t'oŋ1
逛,Cuống,kuoŋ5
逝,Thệ,t'e6
逞,Sính,ʂiɲ5
速,Tốc,tok7
造,Tạo,ta:w6
逡,Thuân,t'wɤn1
逢,Phùng,fuŋ2
連,Liên,lien1
邕,Ung,uŋ1
部,Bộ,bo6
郫,Bì,bi2
郭,Quách,kwa:ʧ7
郯,Đàm,da:m2
郰,Châu,tʂɤw1
郴,Sâm,ʂɤm1
郵,Bưu,bɯw1
都,Đô,do1
鄀,Nhược,ɲɯɤk8
酌,Chước,tʂɯɤk7
配,Phối,foj5
酎,Trữu,tʂɯw4
酒,Tửu,tɯw3
釘,Đinh,diɲ1
釘,Đính,diɲ5
釜,Phủ,fu3
針,Châm,tʂɤm1
閃,Thiểm,t'iem3
陪,Bồi,boj2
陬,Tưu,tɯw1
陰,Âm,ɤm1
陲,Thùy,t'wi2
陳,Trần,tʂɤn2
陴,Bì,bi2
陵,Lăng,laŋ1
陶,Dao,za:w1
陶,Đào,da:w2
陷,Hãm,ha:m4
陸,Lục,luk8
陼,Chử,tʂɯ3
隻,Chích,tʂiʧ7
隼,Chuẩn,tʂwɤn3
飢,Cơ,kɤ:1
飣,Đính,diɲ5
馬,Mã,ma:4
高,Cao,ka:w1
